identifier,score,category,Domain Analysis For,Google PageRank,cPR Score,Domain Authority,Page Authority,Trust Flow,Trust Metric,Global Rank,Alexa USA Rank,Alexa Reach Rank,Spam Score,External Backlinks,Referring Domains,EDU Backlinks,EDU Domains,GOV Backlinks,GOV Domains,PR Quality,Canonical URL,Topic,Topic Value,Indexed URLs,Citation Flow
grist.org,100,Left Center,grist.org,7,7.7,80,63,42,42,52650,10410,42249,5,5699330,33790,54294,474,384,55,Very Strong,grist.org/,Science/Environment,39,102856,51
harpers.org,82.5,Left Center,harpers.org,7,7.2,,,,,89875,25436,78431,1,,,,,,,,harpers.org/,,,,
courant.com,87.5,Left Center,courant.com,7,7.6,83,57,63,63,32428,5210,26351,2,4452734,44101,15488,411,1889,91,Very Strong,courant.com/,News/Newspapers,62,2551247,54
health.com,75,Left Center,health.com,8,8.2,88,63,48,48,8016,2472,6161,2,3766159,58687,13771,393,133,40,Very Strong,health.com/,Health/News and Media,46,1334781,62
healthyway.com,75,Left Center,healthyway.com,5,5.1,56,39,20,20,264331,84292,227028,1,32385,1870,328,10,0,0,Very Strong,healthyway.com/,Health/Weight Loss,18,77135,38
heavy.com,100,Left Center,heavy.com,7,8,88,61,35,35,,266,818,0,2621079,33206,635,139,31,17,Very Strong,heavy.com/,Arts/Entertainment,34,197193,48
hcn.org,100,Left Center,hcn.org,6,6.6,71,51,54,54,123100,28717,105390,1,2360735,11105,4704,211,156,27,Very Strong,hcn.org/,News/Newspapers,54,139858,49
highline.huffingtonpost.com,87.5,Left Center,highline.huffingtonpost.com,8,8.5,94,64,37,37,503,208,409,1,454098,6568,131,52,7,4,Very Strong,highline.huffingtonpost.com/,News/Media Industry,30,1294,54
hollywoodreporter.com,87.5,Left Center,hollywoodreporter.com,8,8.5,92,65,70,70,1834,576,1363,1,16852819,128903,15554,670,258,47,Very Strong,hollywoodreporter.com/,News/Newspapers,69,907146,75
staradvertiser.com,100,Left Center,staradvertiser.com,7,7,78,52,59,59,33289,5921,32225,1,9277059,23920,7795,197,755,39,Very Strong,staradvertiser.com/,News/Newspapers,59,1141871,62
hrw.org,100,Left Center,hrw.org,8,8.2,87,64,80,80,21834,7480,18382,1,12128850,71646,23091,1168,8178,164,Very Strong,hrw.org/,Society/Issues,78,420464,71
indystar.com,100,Left Center,indystar.com,7,7.5,81,57,63,63,18867,3314,15896,11,5448094,40744,53220,326,1508,53,Very Strong,indystar.com/,News/Newspapers,62,1281888,68
inquisitr.com,87.5,Left Center,inquisitr.com,7,8,89,59,34,34,13083,3473,10015,1,3110768,52625,1908,297,116,19,Very Strong,inquisitr.com/,Science/Social Sciences,27,814121,65
ibtimes.com,82.5,Left Center,ibtimes.com,8,8.3,91,62,64,64,25177,6058,19147,1,5998592,90439,12310,744,2643,95,Very Strong,ibtimes.com/,Business/News and Media,64,964724,66
inverse.com,100,Left Center,inverse.com,7,7.3,81,54,31,31,5373,1625,3930,1,3659274,25917,3144,276,98,15,Very Strong,inverse.com/,Arts/Comics,24,88450,60
jacksonfreepress.com,92.5,Left Center,jacksonfreepress.com,6,5.9,64,46,26,26,506737,117185,426253,1,223709,5638,3190,75,63,4,Very Strong,jacksonfreepress.com/,Society/Issues,23,612659,49
kansascity.com,100,Left Center,kansascity.com,7,8,89,59,66,66,16126,2904,13033,1,6114193,57140,15028,466,772,74,Very Strong,kansascity.com/,News/Newspapers,66,1053413,67
kmov.com,87.5,Left Center,kmov.com,6,6.8,74,52,55,55,39932,6291,35513,1,508244,13071,1007,80,272,26,Very Strong,kmov.com/,Arts/Television,55,184734,46
koco.com,82.5,Left Center,koco.com,6,6.5,71,49,46,46,82952,13355,73301,2,243531,7867,141,39,119,13,Very Strong,koco.com/,Arts/Television,46,215393,44
kotaku.com,100,Left Center,kotaku.com,8,8.7,91,70,41,41,1294,358,1041,1,10067160,65012,2377,281,10,6,Very Strong,kotaku.com/,Games/Video Games/News and Reviews,31,869525,66
kuow.org,100,Left Center,kuow.org,6,6.7,70,54,53,53,111706,20521,88216,1,419358,10800,10118,174,1418,37,Very Strong,kuow.org/,Arts/Radio,52,588455,51
latimes.com,100,Left Center,latimes.com,8,8.9,93,71,85,85,1593,308,1212,2,133103154,330631,234654,2065,26167,330,Very Strong,latimes.com/,News/Newspapers,82,7428852,89
lawfareblog.com,100,Left Center,lawfareblog.com,6,6.8,74,52,40,40,43810,10102,35717,1,2017389,14933,6426,199,107,16,Very Strong,lawfareblog.com/,Society/Politics,35,60114,57
kentucky.com,100,Left Center,kentucky.com,7,7.5,83,55,58,58,45312,9558,37041,1,1942407,30000,4980,261,274,46,Very Strong,kentucky.com/,News/Newspapers,58,1284601,61
mcclatchydc.com,95,Left Center,mcclatchydc.com,7,7.3,82,54,60,60,50221,17264,38265,2,3230817,30489,6021,284,741,44,Very Strong,mcclatchydc.com/,News,60,976133,66
metro.us,75,Left Center,metro.us,7,7.2,82,52,33,33,49064,15652,37981,6,1369947,21164,1515,181,102,15,Very Strong,metro.us/,News/Newspapers,31,702955,54
metro.co.uk,82.5,Left Center,metro.co.uk,8,8.7,93,69,60,60,3637,,2861,0,10267621,114778,11019,432,167,46,Very Strong,metro.co.uk/,News/Newspapers,59,1382384,68
miamiherald.com,100,Left Center,miamiherald.com,8,8.2,90,61,72,72,8134,1369,6061,1,13980739,86666,22271,637,4383,136,Very Strong,miamiherald.com/,News/Newspapers,69,1265008,75
mic.com,87.5,Left Center,mic.com,7,7.9,83,64,28,28,13997,3806,10711,1,1761653,47115,9252,421,79,19,Very Strong,mic.com/,Society/Issues,22,694102,58
jsonline.com,100,Left Center,jsonline.com,7,7.6,82,59,66,66,13833,2581,12423,1,12289732,56879,21951,480,3792,84,Very Strong,jsonline.com/,News/Newspapers,65,1389904,68
startribune.com,100,Left Center,startribune.com,7,8,87,62,74,74,7340,1340,6448,1,10843185,86739,31174,689,6268,117,Very Strong,startribune.com/,News/Newspapers,72,1333520,72
minnpost.com,100,Left Center,minnpost.com,6,6.8,72,53,50,50,111039,22713,89423,1,967445,17860,4340,224,433,34,Very Strong,minnpost.com/,News/Media Industry,49,362796,48
mongabay.com,100,Left Center,mongabay.com,7,7.8,89,56,47,47,30073,13271,24858,0,3137467,22168,8394,396,132,42,Very Strong,mongabay.com/,Science/News and Media,44,800361,61
motherjones.com,87.5,Left Center,motherjones.com,8,8.3,88,65,70,70,10526,2069,8033,1,10844031,77397,15346,777,400,65,Very Strong,motherjones.com/,News/Magazines and E-zines,69,1424390,72
mnn.com,87.5,Left Center,mnn.com,7,7.7,84,59,63,63,14577,4563,11801,1,1915336,52041,3811,490,248,67,Very Strong,mnn.com/,Science/Environment,62,517465,64
msn.com,100,Left Center,msn.com,9,9.3,95,78,81,81,51,60,46,3,201653696,451224,235843,3092,14954,565,Very Strong,msn.com/,Computers/Internet/On the Web,76,16130481,73
naplesnews.com,100,Left Center,naplesnews.com,6,7,76,53,59,59,96244,20484,79003,0,1567585,20032,1381,181,294,21,Very Strong,naplesnews.com/,News/Newspapers,58,489596,60
nrdc.org,80,Left Center,nrdc.org,7,7.7,84,59,76,76,43212,9041,35586,1,5865560,44649,7359,732,3255,153,Very Strong,nrdc.org/,Society/Issues,75,137542,62
nbcnews.com,100,Left Center,nbcnews.com,8,8.6,92,67,78,78,766,174,581,1,56827794,200038,168424,1525,6028,244,Very Strong,nbcnews.com/,News,73,1573167,83
necn.com,95,Left Center,necn.com,7,7.1,80,51,54,54,78663,13296,65288,1,1455491,15703,2631,181,837,31,Very Strong,necn.com/,Arts/Television,53,428068,60
kfor.com,77.5,Left Center,kfor.com,7,7.1,,,,,44839,7706,41226,0,,,,,,,,kfor.com/,,,,
newsday.com,87.5,Left Center,newsday.com,8,8.2,,,,,13438,2686,11611,1,,,,,,,,newsday.com/,,,,
newser.com,80,Left Center,newser.com,7,7.4,82,55,56,56,16875,3423,17419,2,3426962,23401,654,167,42,17,Very Strong,newser.com/,News/Headline Links,56,580068,68
newsone.com,72.5,Left Center,newsone.com,7,7.2,78,56,21,21,82881,19146,66395,0,2989307,11426,418,104,54,9,Very Strong,newsone.com/,Society/Issues,19,113281,52
newsy.com,100,Left Center,newsy.com,6,6.4,68,50,27,27,173656,49179,147165,1,665346,7443,506,77,18,6,Very Strong,newsy.com/,News/Newspapers,25,812458,54
nydailynews.com,75,Left Center,nydailynews.com,8,8.6,93,67,75,75,3468,703,2818,2,18582300,166616,20440,926,6717,119,Very Strong,nydailynews.com/,News/Newspapers,74,1823232,69
npr.org,100,Left Center,npr.org,8,8.9,93,72,84,84,685,148,521,1,157223345,357579,502442,2672,16741,413,Very Strong,npr.org/,Arts/Radio,80,5152327,83
nytimes.com,100,Left Center,nytimes.com,9,9.5,95,80,91,91,117,29,107,1,378089000,965650,2262442,4982,111989,1060,Very Strong,nytimes.com/,News,87,15671098,95
ozy.com,100,Left Center,ozy.com,6,6.9,76,52,36,36,40569,9309,33155,1,646238,15515,2404,256,85,19,Very Strong,ozy.com/,News/Headline Links,31,360081,58
psmag.com,100,Left Center,psmag.com,7,7.3,80,56,35,35,33902,7037,25709,1,1586703,29592,6933,450,147,34,Very Strong,psmag.com/,Society/Politics,27,109461,59
pbs.org,100,Left Center,pbs.org,8,8.7,92,70,91,91,1742,384,1490,1,139949483,238676,510828,2866,20265,481,Very Strong,pbs.org/,Arts/Television,87,1232226,81
philly.com,100,Left Center,philly.com,8,8.4,90,65,70,70,8364,1526,6796,1,10105289,93949,35841,788,7924,114,Very Strong,philly.com/,News/Newspapers,69,2847520,71
inquirer.net,90,Left Center,inquirer.net,8,8.1,89,61,56,56,,,,5,5243268,41338,5334,336,16969,124,Very Strong,inquirer.net/,News/Newspapers,55,1232369,60
phoenixnewtimes.com,100,Left Center,phoenixnewtimes.com,7,7.2,79,54,57,57,64892,14656,54043,1,731678,22046,1768,128,232,21,Very Strong,phoenixnewtimes.com/,News/Newspapers,57,468749,49
pluralist.com,62.5,Left Center,pluralist.com,4,4.5,48,35,14,14,63561,11080,51869,1,20133,899,7,2,0,0,Strong,pluralist.com/,Society/Religion and Spirituality,13,7521,32
propublica.org,100,Left Center,propublica.org,7,7.8,85,60,45,45,19727,3832,16816,1,6419217,49272,8121,593,1251,61,Very Strong,propublica.org/,News,34,1302684,65
providencejournal.com,92.5,Left Center,providencejournal.com,6,6.9,77,51,54,54,,,,1,1013585,22858,13662,277,1461,45,Very Strong,providencejournal.com/,News/Newspapers,54,1220640,55
pri.org,100,Left Center,pri.org,7,7.6,,,,,31572,9061,23878,1,,,,,,,,pri.org/,,,,
qz.com,100,Left Center,qz.com,8,8.6,90,69,43,43,2784,1016,1987,1,14210998,139026,26224,994,3194,128,Very Strong,qz.com/,Computers/Multimedia,30,180976,54
newsobserver.com,100,Left Center,newsobserver.com,7,7.6,82,58,65,65,26474,4805,21543,1,5802177,43680,13414,388,7526,68,Very Strong,newsobserver.com/,News/Newspapers,65,1109307,65
therealnews.com,100,Left Center,therealnews.com,6,6.9,70,58,54,54,100815,32870,89224,1,1915667,9319,4722,122,15,6,Very Strong,therealnews.com/,News/Alternative,54,169190,51
revealnews.org,100,Left Center,revealnews.org,6,6.6,72,50,30,30,119448,35145,95266,1,2054759,11445,1235,141,83,12,Very Strong,revealnews.org/,Society/Politics,25,2216229,53
roanoke.com,100,Left Center,roanoke.com,6,6.9,75,53,30,30,48660,8565,45258,1,1192744,18403,3949,220,512,36,Very Strong,roanoke.com/,Regional/North America,27,1253670,35
rollingstone.com,90,Left Center,rollingstone.com,8,8.5,91,67,75,75,2145,626,1728,1,28255939,135566,29902,874,366,62,Very Strong,rollingstone.com/,Arts/Music,75,881516,73
sacbee.com,100,Left Center,sacbee.com,7,7.8,85,60,67,67,13965,2565,11218,1,8992862,69967,35758,567,5868,88,Very Strong,sacbee.com/,News/Newspapers,66,1144841,71
sltrib.com,100,Left Center,sltrib.com,7,7.6,84,57,64,64,18712,3474,15859,1,14390508,47885,7208,379,4396,66,Very Strong,sltrib.com/,News/Newspapers,63,777010,67
mysanantonio.com,100,Left Center,mysanantonio.com,7,7.5,82,57,62,62,32950,6081,33222,1,7120310,37043,59214,313,1670,55,Very Strong,mysanantonio.com/,News/Newspapers,61,1323546,64
sfchronicle.com,100,Left Center,sfchronicle.com,7,7.4,82,55,61,61,10132,1635,8275,1,15247028,46304,27715,408,3817,72,Very Strong,sfchronicle.com/,News/Newspapers,53,319631,70
sfexaminer.com,100,Left Center,sfexaminer.com,6,6.9,76,52,44,44,82592,14574,69741,0,1040807,19166,2728,154,1381,18,Very Strong,sfexaminer.com/,News/Newspapers,38,967797,57
mercurynews.com,100,Left Center,mercurynews.com,8,8.3,92,61,70,70,8085,1518,6499,1,15983075,97396,21208,681,9376,94,Very Strong,mercurynews.com/,News/Newspapers,67,2551098,74
santafenewmexican.com,100,Left Center,santafenewmexican.com,6,6.5,70,50,37,37,139344,26640,119031,1,1163855,13406,5723,179,489,41,Very Strong,santafenewmexican.com/,News/Newspapers,34,41473,37
seattlepi.com,100,Left Center,seattlepi.com,7,7.8,84,60,60,60,14836,3898,12887,1,5000861,44223,4161,444,4429,49,Very Strong,seattlepi.com/,News/Newspapers,59,1009374,52
seattletimes.com,100,Left Center,seattletimes.com,8,8.3,91,63,66,66,5552,1244,4778,1,15293809,95637,48788,764,14052,135,Very Strong,seattletimes.com/,News/Newspapers,62,1477528,74
sfgate.com,100,Left Center,sfgate.com,8,8.7,92,69,76,76,1474,332,1268,1,29088120,178086,38459,1111,34459,163,Very Strong,sfgate.com/,News/Newspapers,73,3308128,72
sojo.net,92.5,Left Center,sojo.net,6,6.7,67,57,58,58,137754,28496,119971,1,1173433,9841,1657,258,26,3,Very Strong,sojo.net/,Society/Religion and Spirituality,58,1512802,51
splcenter.org,87.5,Left Center,splcenter.org,7,7.3,79,56,69,69,,3055,18415,1,2620078,29918,4457,635,247,60,Very Strong,splcenter.org/,Society/Organizations,67,79760,62
nj.com,100,Left Center,nj.com,8,8.3,88,65,71,71,4775,886,4273,1,21555834,84092,44995,563,29896,121,Very Strong,nj.com/,News/Newspapers,66,3887790,72
silive.com,100,Left Center,silive.com,7,7,76,54,53,53,60321,9743,56661,2,1780703,18720,913,140,1956,25,Very Strong,silive.com/,News/Media Industry,52,2525228,53
stltoday.com,100,Left Center,stltoday.com,7,7.8,84,60,35,35,11768,2074,11576,1,72559493,54001,8964,451,1208,68,Very Strong,stltoday.com/,Society/Politics,27,1711647,49
twincities.com,100,Left Center,twincities.com,7,7.5,82,57,59,59,26249,4799,22160,1,3392849,35825,10668,301,2276,46,Very Strong,twincities.com/,News/Newspapers,58,1763932,60
tabletmag.com,92.5,Left Center,tabletmag.com,7,7,76,54,36,36,55060,14610,45679,0,1292029,17866,1683,190,12,6,Very Strong,tabletmag.com/,Society/Philanthropy,29,228379,58
techcrunch.com,92.5,Left Center,techcrunch.com,9,9.2,94,77,76,76,1016,389,811,1,81234600,261450,52284,1193,3524,169,Very Strong,techcrunch.com/,Computers/News and Media,74,1481408,88
texasmonthly.com,100,Left Center,texasmonthly.com,7,7.2,81,53,62,62,42429,7100,34171,1,1386334,19145,11827,158,129,12,Very Strong,texasmonthly.com/,News/Magazines and E-zines,58,103572,54
tampabay.com,100,Left Center,tampabay.com,7,7.9,87,60,66,66,13579,2575,11356,2,7525124,60143,10049,401,1014,75,Very Strong,tampabay.com/,News/Newspapers,65,1006228,63
courier-journal.com,100,Left Center,courier-journal.com,7,7.3,81,55,61,61,34676,6092,28221,1,3042825,30990,4440,274,799,45,Very Strong,courier-journal.com/,News/Newspapers,61,997751,69
lehighvalleylive.com,100,Left Center,lehighvalleylive.com,7,7.1,79,52,50,50,56404,10771,54658,1,402320,14974,1678,104,688,20,Very Strong,lehighvalleylive.com/,News/Newspapers,48,2738534,51
forward.com,87.5,Left Center,forward.com,7,7.5,78,60,58,58,35033,9741,27389,1,4227945,26896,8009,337,2220,16,Very Strong,forward.com/,Society/Religion and Spirituality,58,412639,62
theguardian.com,100,Left Center,theguardian.com,8,9.1,95,73,84,84,137,104,129,1,246239567,725898,570016,3990,17364,890,Very Strong,theguardian.com/,News,72,7172777,93
heraldnet.com,100,Left Center,heraldnet.com,6,6.9,74,53,56,56,79504,17685,65464,0,919537,16056,2376,158,3359,37,Very Strong,heraldnet.com/,News/Newspapers,56,936051,57
thehill.com,92.5,Left Center,thehill.com,8,8.6,91,69,72,72,1061,234,860,1,26430485,113108,335319,831,18990,194,Very Strong,thehill.com/,News/Newspapers,69,933978,89
independent.co.uk,87.5,Left Center,independent.co.uk,8,8.9,94,70,83,83,994,834,735,1,39927263,330374,127783,1856,4928,286,Very Strong,independent.co.uk/,News/Newspapers,82,3030156,85
lohud.com,100,Left Center,lohud.com,7,7.1,78,54,56,56,45627,9296,38597,0,1948948,21706,4699,184,2229,28,Very Strong,lohud.com/,News/Newspapers,55,1065604,65
newstimes.com,100,Left Center,newstimes.com,6,6.6,72,50,54,54,87473,16307,84841,1,525240,11938,100074,138,254,19,Very Strong,newstimes.com/,News/Newspapers,54,706146,53
thenewstribune.com,100,Left Center,thenewstribune.com,7,7.1,77,54,59,59,63812,12273,53050,1,3278641,26014,2855,231,3425,45,Very Strong,thenewstribune.com/,News/Newspapers,57,1043679,59
theguardian.com,100,Left Center,theguardian.com,8,9.1,95,73,84,84,137,104,129,1,246239567,725898,570016,3990,17364,890,Very Strong,theguardian.com/,News,72,7172777,93
theolympian.com,100,Left Center,theolympian.com,6,6.5,70,50,53,53,125685,21229,112949,1,744705,11752,1277,133,1017,29,Very Strong,theolympian.com/,News/Newspapers,53,995878,52
palmbeachpost.com,100,Left Center,palmbeachpost.com,7,7.6,85,55,58,58,45231,7048,38327,1,4381694,34810,9911,236,1384,36,Very Strong,palmbeachpost.com/,News/Newspapers,57,816897,53
pennlive.com,100,Left Center,pennlive.com,7,7.5,82,57,57,57,20319,3652,18585,1,1544013,34180,5071,266,1618,37,Very Strong,pennlive.com/,News/Media Industry,56,3800187,60
cleveland.com,95,Left Center,cleveland.com,8,8.1,87,63,68,68,10633,1977,9462,1,6261726,68584,49512,526,6197,98,Very Strong,cleveland.com/,News/Newspapers,65,3438660,70
pressdemocrat.com,100,Left Center,pressdemocrat.com,6,7,76,53,57,57,40019,5945,37268,1,3737470,22771,4632,148,2084,27,Very Strong,pressdemocrat.com/,News/Newspapers,56,799305,59
northjersey.com,92.5,Left Center,northjersey.com,7,7.5,81,58,62,62,31692,5000,25958,4,4885650,35384,8500,299,1790,69,Very Strong,northjersey.com/,News/Newspapers,61,1187553,67
theringer.com,70,Left Center,theringer.com,7,7.3,79,56,33,33,3207,784,3003,1,1068457,19354,741,110,8,3,Very Strong,theringer.com/,Society/Subcultures,29,145513,60
thestate.com,100,Left Center,thestate.com,7,7.2,80,54,60,60,38860,7151,31877,1,1481466,30467,9484,243,1978,45,Very Strong,thestate.com/,News/Newspapers,59,909524,60
thestranger.com,80,Left Center,thestranger.com,7,7.3,,,,,18003,3411,16350,1,,,,,,,,thestranger.com/,,,,
theverge.com,100,Left Center,theverge.com,8,8.7,93,68,75,75,546,185,443,1,38545774,196709,33898,1036,2022,132,Very Strong,theverge.com/,Home/Consumer Information,73,2192017,88
pilotonline.com,100,Left Center,pilotonline.com,7,7.2,76,57,58,58,38402,7811,31621,1,2776880,24544,16391,249,1064,53,Very Strong,pilotonline.com/,News/Media Industry,55,1163395,55
time.com,95,Left Center,time.com,8,9.1,93,76,64,64,1365,494,1028,1,37614660,376239,170653,2873,6145,411,Very Strong,time.com/,News/Magazines and E-zines,58,1029952,76
timesofisrael.com,100,Left Center,timesofisrael.com,7,7.8,87,58,56,56,8260,3142,6803,1,8604001,57057,195371,412,3412,64,Very Strong,timesofisrael.com/,Society/Religion and Spirituality,54,1612604,77
nola.com,100,Left Center,nola.com,7,8,86,62,69,69,11822,2569,10740,4,5748911,57388,84869,483,5004,90,Very Strong,nola.com/,News/Newspapers,67,3170273,68
thestar.com,100,Left Center,thestar.com,8,8.5,93,64,73,73,5211,,4247,1,38061434,116973,6687,634,5998,90,Very Strong,thestar.com/,News/Newspapers,72,990666,76
usnews.com,95,Left Center,usnews.com,8,8.6,93,66,69,69,903,206,803,1,41392531,216021,884276,3048,5364,338,Very Strong,usnews.com/,News/Magazines and E-zines,61,1517753,66
usatoday.com,100,Left Center,usatoday.com,8,9,94,73,84,84,456,100,363,1,123266116,396686,201234,2760,15854,444,Very Strong,usatoday.com/,News,80,5519288,92
vice.com,100,Left Center,vice.com,8,8.7,93,68,59,59,,78,122,1,29466919,205788,49597,1053,5610,129,Very Strong,vice.com/,Arts/Design,48,1768085,73
vulture.com,100,Left Center,vulture.com,7,7.9,88,59,43,43,2185,659,1756,1,8197503,55019,5155,284,49,12,Very Strong,vulture.com/,Arts/Performing Arts,30,891486,64
washingtonblade.com,87.5,Left Center,washingtonblade.com,6,6.6,73,49,50,50,161987,33778,131742,2,497190,9729,622,123,104,19,Very Strong,washingtonblade.com/,Society/Gay  Lesbian  and Bisexual,50,493149,56
washingtonpost.com,100,Left Center,washingtonpost.com,8,9.1,94,74,87,87,259,77,239,2,155170787,519656,602866,3285,323996,685,Very Strong,washingtonpost.com/,News/Newspapers,84,8013956,91
wgntv.com,100,Left Center,wgntv.com,7,7.4,,,,,18399,3755,15209,0,,,,,,,,wgntv.com/,,,,
wired.com,100,Left Center,wired.com,8,9,94,73,85,85,1524,534,1138,1,57311761,311428,169019,2180,4670,253,Very Strong,wired.com/,Computers/News and Media,80,1360694,87
wnyc.org,95,Left Center,wnyc.org,7,7.4,79,58,52,52,35820,7859,28205,1,3526710,41848,11602,624,405,48,Very Strong,wnyc.org/,Recreation/Radio,45,884061,58
yahoo.com,87.5,Left Center,yahoo.com,8,8.9,88,77,95,95,9,8,8,1,1934537872,1538419,9481762,7834,12475250,3299,Very Strong,yahoo.com/,Computers/Internet/On the Web,87,298211898,91
ydr.com,92.5,Left Center,ydr.com,6,6.6,73,49,52,52,99024,18634,98625,0,1612328,10570,775,101,262,12,Very Strong,ydr.com/,News/Newspapers,52,710467,61
afp.com,95,Center,afp.com,7,7.9,87,60,74,74,24964,,23677,0,5460572,38057,2577,312,790,63,Very Strong,afp.com/,News/Breaking News,74,362663,59
democratherald.com,92.5,Center,democratherald.com,6,6.1,64,49,41,41,199283,34677,200200,1,186877,5105,888,91,73,18,Very Strong,democratherald.com/,News/Newspapers,40,78732,40
americanmilitarynews.com,87.5,Center,americanmilitarynews.com,5,5.8,62,46,24,24,,1317,4923,1,51621,2863,71,10,6,2,Very Strong,americanmilitarynews.com/,Reference/Education,23,77591,44
azcapitoltimes.com,100,Center,azcapitoltimes.com,6,6.1,63,50,25,25,313368,61414,281179,1,408411,5739,421,43,121,18,Very Strong,azcapitoltimes.com/,Society/Politics,22,306903,47
apnews.com,95,Center,apnews.com,8,8.3,91,63,53,53,2354,477,1827,1,13055269,79696,22677,618,2270,128,Very Strong,apnews.com/,News/Media Industry,45,2130011,63
ballotpedia.org,92.5,Center,ballotpedia.org,6,7,72,57,43,43,,1146,6059,1,4441068,26852,6760,422,413,61,Very Strong,ballotpedia.org/,Recreation/Travel,38,116022,43
bnd.com,100,Center,bnd.com,6,6.6,73,50,52,52,118825,26605,103118,1,496879,11878,830,108,274,25,Very Strong,bnd.com/,News/Newspapers,51,1482959,53
bigthink.com,87.5,Center,bigthink.com,8,8.3,88,65,36,36,13861,4551,11268,1,2919028,38682,10929,543,108,25,Very Strong,bigthink.com/,Arts/Design,29,347756,57
bismarcktribune.com,92.5,Center,bismarcktribune.com,6,6.6,69,53,44,44,145565,31468,130011,1,1100277,11659,1785,168,1444,20,Very Strong,bismarcktribune.com/,News/Newspapers,44,128188,44
capecodtimes.com,92.5,Center,capecodtimes.com,6,6,67,45,33,33,,,,1,867910,6266,1699,95,200,14,Very Strong,capecodtimes.com/,News/Newspapers,28,204044,46
trib.com,92.5,Center,trib.com,6,6.7,70,54,46,46,143244,34411,129906,1,556365,15026,2724,253,330,33,Very Strong,trib.com/,News/Newspapers,45,4747734,45
publicintegrity.org,100,Center,publicintegrity.org,6,6.9,73,54,66,66,190067,36698,160509,1,1028703,20068,2302,345,373,37,Very Strong,publicintegrity.org/,Society/Issues,66,165880,52
opensecrets.org,100,Center,opensecrets.org,7,7.7,80,62,73,73,31305,5027,30507,1,9216196,33375,6521,647,369,25,Very Strong,opensecrets.org/,Society/Issues,70,4262899,71
cgtn.com,39.5,Center,cgtn.com,6,7,81,48,39,39,14994,,15987,3,971057,15331,2210,244,456,39,Very Strong,cgtn.com/,News,35,609976,55
csmonitor.com,100,Center,csmonitor.com,8,8.4,92,64,77,77,33152,8027,27380,1,11520443,90365,40547,1233,6732,141,Very Strong,csmonitor.com/,News,75,1640625,71
concordmonitor.com,100,Center,concordmonitor.com,6,6.6,72,50,53,53,157245,28546,137693,2,1936834,13514,1588,141,1186,24,Very Strong,concordmonitor.com/,News/Newspapers,53,365954,55
consumerreports.org,100,Center,consumerreports.org,8,8.3,90,63,74,74,3333,741,3265,1,7355489,107655,12375,639,2362,182,Very Strong,consumerreports.org/,Home/Consumer Information,73,628399,68
cookpolitical.com,87.5,Center,cookpolitical.com,6,6.4,66,53,53,53,270427,51390,246715,1,988439,6554,380,84,4,2,Very Strong,cookpolitical.com/,Recreation/Travel,50,49015,50
c-span.org,87.5,Center,c-span.org,7,7.9,86,60,76,76,18189,3525,14793,1,6564822,51226,28390,1142,9280,193,Very Strong,c-span.org/,News,70,2160892,70
daily-journal.com,85,Center,daily-journal.com,5,5.8,62,46,20,20,255252,54183,251038,1,291970,4141,230,48,1557,10,Very Strong,daily-journal.com/,Business,17,11298,23
dailyjournalonline.com,92.5,Center,dailyjournalonline.com,5,5.9,62,47,36,36,300752,61627,288558,1,427783,3748,245137,54,27,9,Very Strong,dailyjournalonline.com/,News/Newspapers,36,70097,37
dailyrecord.com,100,Center,dailyrecord.com,6,6.4,69,50,53,53,133779,27600,117677,1,656669,9218,1200,96,244,16,Very Strong,dailyrecord.com/,News/Newspapers,53,1157364,58
daytondailynews.com,87.5,Center,daytondailynews.com,7,7.1,78,53,57,57,37921,5822,31904,1,2678462,22057,3831,190,1703,45,Very Strong,daytondailynews.com/,News/Newspapers,57,454705,60
defensenews.com,100,Center,defensenews.com,7,7.2,80,53,58,58,34398,11223,29278,0,2301725,20234,1905,130,1113,46,Very Strong,defensenews.com/,Society/Military,57,3129206,62
dentonrc.com,92.5,Center,dentonrc.com,6,6,66,46,46,46,144997,26744,137692,1,134113,6011,781,58,40,9,Very Strong,dentonrc.com/,News/Newspapers,46,1017834,38
desmoinesregister.com,100,Center,desmoinesregister.com,7,7.5,80,58,59,59,25441,4453,21716,1,3705465,37838,12222,318,769,65,Very Strong,desmoinesregister.com/,News/Newspapers,58,1252730,69
digitaljournal.com,87.5,Center,digitaljournal.com,7,7.8,84,61,35,35,24312,9906,19104,2,37922118,61693,40930,579,431,78,Very Strong,digitaljournal.com/,Arts/Music,26,1327961,64
eagletribune.com,92.5,Center,eagletribune.com,6,6.4,69,50,27,27,111681,22630,109798,1,876466,10700,1087,121,599,21,Very Strong,eagletribune.com/,Regional/North America,25,548790,34
goerie.com,100,Center,goerie.com,6,6.6,71,52,53,53,134834,25172,125773,1,604342,11051,3963,111,268,21,Very Strong,goerie.com/,News/Newspapers,52,141544,47
factcheck.org,100,Center,factcheck.org,7,7.8,80,64,72,72,29164,5665,23082,1,4075892,28734,15401,822,146,36,Very Strong,factcheck.org/,News/Media Industry,72,93830,61
ft.com,100,Center,ft.com,8,8.8,94,69,80,80,2142,,1967,1,52637214,222750,169410,2006,11920,354,Very Strong,ft.com/,Business/Investing,79,8939352,78
